categ,nombre,dif,comens,time,tipo,link,ingred
arroces,receta_de_paella_de_pollo_y_verduras_para_dos_personas,media,1,30,principal,https://www.recetasgratis.net/receta-de-paella-de-pollo-y-verduras-para-dos-personas-67002.html,"30 gramos de arroz por persona (o sea, 60 g),100 pechugas de pollo por persona (o sea, 200 g),1 pimiento rojo mediano,1 cebolla grande,1 diente de ajo,1 tomate grande natural,1 sobre de azafran molido,Sal,Agua (el doble de agua que de arroz),1 chorro de aceite"
arroces,receta_de_porridge_ingles,baja,2,10,desayuno,https://www.recetasgratis.net/receta-de-porridge-ingles-67041.html,"½ taza de copos de avena,1 taza de leche (240 mililitros),1 pizca de sal,1 platano,1 cucharada sopera de arandanos,1 cucharada sopera de frambuesas,1 cucharada sopera de sirope de arce, miel, agave u otro endulzante liquido"
arroces,receta_de_quinoa_con_verduras_y_pollo,media,2,30,principal,https://www.recetasgratis.net/receta-de-quinoa-con-verduras-y-pollo-66820.html,"2 muslo de pollo sin hueso,½ taza de quinoa,2 zanahoria,80 gramos de judias verdes,1 pizca de jengibre fresco,2 cucharadas soperas de salsa de soja,2 cucharadas de postre de miel,1 cucharada sopera de vinagre de arroz,1 pizca de sal,1 pizca de pimienta negra molida,1 cucharada postre de sesamo negro,1 diente de ajo"
arroces,receta_de_risotto_de_setas_y_queso_parmesano,baja,2,45,principal,https://www.recetasgratis.net/receta-de-risotto-de-setas-y-queso-parmesano-65579.html,"150 gramos de arroz carnaroli,75 gramos de setas de alamo,1 litro de caldo de verduras,1 pizca de ajo molido,50 gramos de queso parmesano rallado,100 mililitros de vino blanco,1 pizca de sal,1 chorro de aceite de oliva virgen extra"
arroces,receta_de_paella_de_verduras_vegana,baja,4,150,principal,https://www.recetasgratis.net/receta-de-paella-de-verduras-vegana-66018.html,"200 gramos de arroz,½ taza de judiones o judias blancas cocidas,200 gramos de tempeh,1 cebolla,1 pimiento rojo,½ taza de guisantes,½ taza de maiz dulce,¼ taza de aceitunas verdes,¼ taza de habas cocidas,2 dientes de ajo,1 lata de tomate triturado,1 zanahoria,2 cucharadas soperas de aceite,1 cucharadita de curcuma o colorante amarillo,1 cucharadita de pimenton dulce,agua o caldo vegetal,1 pizca de sal,1 hoja de laurel"
arroces,receta_de_bolitas_energeticas_de_avena_y_frutos_secos,baja,6,15,desayuno,https://www.recetasgratis.net/receta-de-bolitas-energeticas-de-avena-y-frutos-secos-65855.html,"1/4 taza de nueces,1/3 taza de avena en copos,1/3 coco en copos,1 chorro de sirope de agave,1/4 taza de pasas,2 cucharadas de crema de algarroba (o de cacao),1/4 taza de leche de avena,1 cucharadita de pipas de girasol,2 cucharadas de coco rallado"
arroces,receta_de_paella_vegana_de_quinoa,media,2,30,principal,https://www.recetasgratis.net/receta-de-paella-vegana-de-quinoa-65673.html,"1 trozo de pimiento rojo,1 zanahoria,½ cebolla,180 gramos de quinoa,1 tomate,50 gramos de judias verdes,80 gramos de esparragos verdes,2 tazas de caldo de verduras,1 pizca de sal,1 pizca de pimienta negra molida"
arroces,receta_de_ensalada_de_quinoa_vegana,baja,2,30,principal,https://www.recetasgratis.net/receta-de-ensalada-de-quinoa-vegana-65793.html,"½ taza de quinoa,1 zanahoria pequegna rallada,½ calabacin cortado en rodajas,½ cebolla picada,3 dientes de ajo machacados,½ taza de hongos picados,2 cucharadas soperas de aceite de oliva,1 pizca de pimienta negra,1 pizca de sal,Semillas de girasol,Semillas de amapola,Otras semillas (opcional),1 taza de agua (240 mililitros)"
arroces,receta_de_cous_cous_vegetariano,baja,2,15,entrante,https://www.recetasgratis.net/receta-de-cous-cous-vegetariano-65627.html,"1 taza de couscous,1 lamina de alga nori,3 datiles,5 nueces,½ pimiento rojo,½ pimiento verde,1 zanahoria,1 rama de apio,1 cucharada sopera de aceite,1 pizca de sal,1 chorro de zumo de limon"
arroces,"receta_de_granola_casera_facil,_rapida_y_deliciosa",baja,1,30,desayuno,https://www.recetasgratis.net/receta-de-granola-casera-facil-rapida-y-deliciosa-65493.html,"2 tazas de copos de avena,½ taza de almendra granillo (o como prefirais),¼ taza de avellanas,1 pizca de sal,¼ cucharadita de canela en polvo,¼ cucharadita de jengibre en polvo,¼ taza de aceite de coco,¼ taza de azucar moreno (45 gramos),½ cucharada sopera de miel,¼ cucharadita de esencia de vainilla"
arroces,receta_de_risotto_de_gambas_y_parmesano,baja,2,45,principal,https://www.recetasgratis.net/receta-de-risotto-de-gambas-y-parmesano-65267.html,"200 gramos de arroz carnaroli,200 gramos de gamba blanca,1 litro de caldo de pescado,100 gramos de queso parmesano,1 cucharadita de ajo molido,1 pizca de sal"
arroces,receta_de_rollitos_de_tortillas_de_trigo,baja,2,45,entrante,https://www.recetasgratis.net/receta-de-rollitos-de-tortillas-de-trigo-65349.html,"4 tortillas de trigo,4 hojas de alga nori,1 taza de arroz cocido (175 gramos),1 aguacate,1 lata de pimientos asados,4 cucharadas soperas de guisantes,1 cucharadita de semillas de sesamo,2 cucharadas soperas de mostaza dulce"
arroces,receta_de_arroz_con_quinoa_y_verduras,baja,2,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-quinoa-y-verduras-65249.html,"1 taza de mezcla de 3 arroces (blanco, rojo y salvaje),½ taza de quinoa roja,1 cebolla,1 zanahoria,¼ manojo de acelgas,1 trozo de col lombarda (pequegno),1 trozo de col blanca (pequegno),¼ pimiento rojo,1 pizca de sal,1 pizca de pimienta,2 cucharadas soperas de aceite,1 trozo de raiz de jengibre (pequegno),1 trozo de raiz de curcuma (pequegno)"
arroces,"receta_de_hamburguesas_vegetarianas_de_quinoa,_mijo_y_vegetales",media,6,45,principal,https://www.recetasgratis.net/receta-de-hamburguesas-vegetarianas-de-quinoa-mijo-y-vegetales-65234.html,"100 gramos de mijo,50 gramos de quinoa,1 cebolla,1 zanahoria,3 cucharadas soperas de pan rallado,1 pizca de sal,1 pizca de pimienta,2 cucharadas soperas de aceite,½ cucharadita de curcuma,½ cucharadita de jengibre en polvo,½ taza de harina (70 gramos)"
arroces,receta_de_arroz_con_bacalao_y_verduras,baja,5,30,principal,https://www.recetasgratis.net/receta-de-arroz-con-bacalao-y-verduras-65196.html,"450 g de bacalao,500 g de arroz,1 pimiento verde,1 cebolla,2 setas de buen tamagno,50 g de aceite,3 dientes de ajo,albahaca,Pimenton rojo dulce,40 ml de vino blanco,Colorante alimentario o azafran,1 litro de agua"
arroces,receta_de_rosca_de_arroz_navidegna_paso_a_paso,media,6,45,entrante,https://www.recetasgratis.net/receta-de-rosca-de-arroz-navidena-paso-a-paso-64915.html,"100 gramos de pechuga de pollo,100 gramos de jamon dulce,4 lonchas de bacon ahumado,2 cucharadas soperas de guisantes,180 gramos de arroz blanco,1 pieza de zanahoria,1 pizca de sal,3 cucharadas soperas de mayonesa"
